case	region_regions	region_loops	region_vloads	region_vstores	region_vmi_instances	region_local_boundaries	region_hard_boundaries	pre_loop_regions	pre_loop_loops	pre_loop_vloads	pre_loop_vstores	pre_loop_vmi_instances	pre_loop_local_boundaries	pre_loop_hard_boundaries	loop_regions	loop_loops	loop_vloads	loop_vstores	loop_vmi_instances	loop_local_boundaries	loop_hard_boundaries	mem2reg_regions	mem2reg_loops	mem2reg_vloads	mem2reg_vstores	mem2reg_vmi_instances	mem2reg_local_boundaries	mem2reg_hard_boundaries	loops_removed	loads_elided	stores_elided	classification
_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	56	1	0	0	56	52	21	56	113	88	56	100	54	21	56	113	88	56	100	54	21	56	113	88	56	100	54	21	0	0	0	fragmented_or_unoptimized
_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	8	10	0	0	8	1	45	0	6	0	0	0	0	55	0	6	0	0	0	0	55	8	20	10	8	19	1	55	0	0	0	fragmented_or_unoptimized
_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	12	2	0	0	13	9	8	12	24	19	13	25	6	2	12	24	19	13	25	6	2	12	24	17	13	25	6	2	0	2	0	partially_optimized
_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	26	4	0	0	28	14	13	26	35	39	28	52	10	1	26	35	39	28	52	10	1	26	35	38	28	52	10	1	0	1	0	partially_optimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/gather_kv.pto	2	2	0	0	2	1	3	2	4	2	2	2	1	0	2	4	2	2	2	1	0	2	4	2	2	2	1	0	0	0	0	fragmented_or_unoptimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	16	3	0	0	16	7	9	16	16	27	16	19	5	7	16	16	27	16	19	5	7	16	16	26	16	19	5	7	0	1	0	partially_optimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	30	3	0	0	30	5	9	30	8	41	30	30	0	0	30	8	41	30	30	0	0	30	8	40	30	30	0	0	0	1	0	partially_optimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	12	3	0	0	12	5	6	12	19	18	12	24	4	2	12	19	18	12	24	4	2	12	19	18	12	24	4	2	0	0	0	fragmented_or_unoptimized
