case	region_regions	region_loops	region_vloads	region_vstores	region_vmi_instances	region_local_boundaries	region_hard_boundaries	pre_loop_regions	pre_loop_loops	pre_loop_vloads	pre_loop_vstores	pre_loop_vmi_instances	pre_loop_local_boundaries	pre_loop_hard_boundaries	loop_regions	loop_loops	loop_vloads	loop_vstores	loop_vmi_instances	loop_local_boundaries	loop_hard_boundaries	mem2reg_regions	mem2reg_loops	mem2reg_vloads	mem2reg_vstores	mem2reg_vmi_instances	mem2reg_local_boundaries	mem2reg_hard_boundaries	loops_removed	loads_elided	stores_elided	classification
_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	4	1	0	0	56	52	21	4	113	88	56	56	56	21	4	82	88	56	25	56	21	4	82	48	45	25	56	21	31	40	11	deep_fusion_ready
_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	2	10	0	0	8	1	45	0	6	0	0	0	0	55	0	6	0	0	0	0	55	2	16	5	6	15	1	55	0	0	0	fragmented_or_unoptimized
_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	4	2	0	0	13	9	8	4	24	19	13	21	6	2	4	22	19	13	19	6	2	4	22	15	13	19	6	2	2	4	0	deep_fusion_ready
_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	11	4	0	0	28	14	13	11	35	39	28	46	10	1	11	26	39	28	37	10	1	11	26	27	23	37	10	1	9	12	5	partially_optimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/gather_kv.pto	2	2	0	0	2	1	3	2	4	2	2	2	1	0	2	4	2	2	2	1	0	2	4	2	2	2	1	0	0	0	0	fragmented_or_unoptimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	3	3	0	0	16	7	9	3	16	27	16	14	5	7	3	16	27	16	14	5	7	3	16	11	10	14	5	7	0	16	6	deep_fusion_ready
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	11	3	0	0	30	5	9	11	8	41	30	18	0	0	11	8	41	30	18	0	0	11	8	29	25	18	0	0	0	12	5	partially_optimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	3	3	0	0	12	5	6	3	19	18	12	20	4	2	3	13	18	12	14	4	2	3	13	12	9	14	4	2	6	6	3	deep_fusion_ready
