case	evaluation_mode	priority	performance_status	workload	compile_status	residual_vmi_ops	vmi_instances	local_boundaries	hard_boundaries	fusion_regions	source_tileop_instances	static_assessment	correctness_gate	next_action
_jit_prefill_attention_csa_test_20260723_031246/ptoas/hc_pre_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/kv_proj_matmul.pto	static_only	S	not_selected	-	PASS	0	0	0	23	0	23	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/kv_proj_seed.pto	static_only	S	not_selected	-	PASS	0	0	1	1	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/kv_rms_norm_rope.pto	static_only	S	not_selected	-	PASS	0	32	18	20	11	70	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	performance_and_static	P1	harness_required	prefill_merge_norm	PASS	0	16	7	9	3	32	fusion_candidate_with_local_boundaries	model_valid_inputs_missing	reuse_standalone_rmsnorm_infrastructure
_jit_prefill_attention_csa_test_20260723_031246/ptoas/mix_x.pto	static_only	S	not_selected	-	PASS	0	8	9	11	2	28	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_cache_write.pto	static_only	S	not_selected	-	PASS	0	1	0	4	1	5	fusion_candidate_clean	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_kv_score_proj.pto	static_only	S	not_selected	-	PASS	0	0	0	46	0	46	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_rmsnorm_rope.pto	static_only	S	not_selected	-	PASS	0	26	16	13	11	55	fusion_candidate_with_local_boundaries	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	performance_and_static	P0	sample_ready_ab	prefill_softmax	PASS	0	30	5	9	11	44	fusion_candidate_with_local_boundaries	cpu_golden_missing	add_cpu_golden_then_repeat_samples
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_state_update.pto	static_only	S	not_selected	-	PASS	0	4	0	6	3	10	fusion_candidate_clean	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_write_map.pto	static_only	S	not_selected	-	PASS	0	0	2	2	0	6	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_csa_cache_write.pto	static_only	S	not_selected	-	PASS	0	0	0	2	0	2	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_csa_idx_halfrope.pto	static_only	S	not_selected	-	PASS	0	0	2	4	0	6	hard_boundary_only	not_required_for_static_conclusion	refresh_static_metrics_on_new_baseline
