case	repeat	status	total_tick	vloop	vld	vst	output_sha256	task_output
rope_vmi_base	5	1	10651	49	5250	3697	1eee9b20e9d031fdcc82ba3e326b528060160ca12c58d9100f6a8f10f80d5aa7	=== 任务失败 (exit=1) ===
rope_vmi_base	6	1	10669	49	5250	3697	1eee9b20e9d031fdcc82ba3e326b528060160ca12c58d9100f6a8f10f80d5aa7	=== 任务失败 (exit=1) ===
rope_vmi_base	7	1	10670	49	5250	3697	1eee9b20e9d031fdcc82ba3e326b528060160ca12c58d9100f6a8f10f80d5aa7	=== 任务失败 (exit=1) ===
rope_vmi_base	8	1	10676	49	5250	3697	1eee9b20e9d031fdcc82ba3e326b528060160ca12c58d9100f6a8f10f80d5aa7	=== 任务失败 (exit=1) ===
rope_vmi_base	9	1	10657	49	5250	3697	1eee9b20e9d031fdcc82ba3e326b528060160ca12c58d9100f6a8f10f80d5aa7	=== 任务失败 (exit=1) ===
rope_vmi_base	10	1	10669	49	5250	3697	1eee9b20e9d031fdcc82ba3e326b528060160ca12c58d9100f6a8f10f80d5aa7	=== 任务失败 (exit=1) ===
rope_vmi_loop	1	1	11988	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	2	1	11933	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	3	1	11946	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	4	1	11926	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	5	1	11946	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	6	1	11954	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
rope_vmi_loop	7	1	11955	30	5250	3688	60cb0ef091809959f3780d8060a1db644c141e5a5a7c872ff20abcb5ca27d53d	=== 任务失败 (exit=1) ===
