case	variant	repeat	task_duration_us	output_sha256	profile
prefill_comb_sinkhorn	vmi_candidate	5	14.685	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_candidate-5
prefill_comb_sinkhorn	vmi_loop	1	14.530	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-1
prefill_comb_sinkhorn	vmi_loop	2	14.608	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-2
prefill_comb_sinkhorn	vmi_loop	3	14.317	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-3
prefill_comb_sinkhorn	vmi_loop	4	14.226	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-4
prefill_comb_sinkhorn	vmi_loop	5	14.357	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-5
prefill_comb_sinkhorn	vmi_fused	1	14.129	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-1
prefill_comb_sinkhorn	vmi_fused	2	14.105	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-2
prefill_comb_sinkhorn	vmi_fused	3	14.057	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-3
prefill_comb_sinkhorn	vmi_fused	4	14.036	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-4
prefill_comb_sinkhorn	vmi_fused	5	14.127	69552729de0961391aa9ddf4e274c675bf95612ac00c0e61cdb1f4b82c13b10d	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-5
prefill_softmax	ordinary	1	97.567	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-1
prefill_softmax	ordinary	2	99.111	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-2
prefill_softmax	ordinary	3	100.373	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-3
prefill_softmax	ordinary	4	98.515	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-4
prefill_softmax	ordinary	5	100.270	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/ordinary-5
prefill_softmax	vmi_candidate	1	99.833	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-1
prefill_softmax	vmi_candidate	2	97.798	f0342373bd90377964635fb8afe2771dfe356f925cc7e946339f519b5b7539c7	${RESULT_ROOT}/prefill_softmax/profiles/vmi_candidate-2
