case	variant	repeat	task_duration_us	output_sha256	profile
prefill_rope	vmi_loop	4	91.414	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_loop-4
prefill_rope	vmi_loop	5	89.102	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_loop-5
prefill_rope	vmi_fused	1	80.665	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-1
prefill_rope	vmi_fused	2	81.877	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-2
prefill_rope	vmi_fused	3	78.897	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-3
prefill_rope	vmi_fused	4	81.019	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-4
prefill_rope	vmi_fused	5	79.866	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-5
decode_rmsnorm	ordinary	1	30.005	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-1
decode_rmsnorm	ordinary	2	29.468	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-2
decode_rmsnorm	ordinary	3	30.396	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-3
decode_rmsnorm	ordinary	4	30.529	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-4
decode_rmsnorm	ordinary	5	30.256	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-5
decode_rmsnorm	vmi_candidate	1	28.152	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-1
decode_rmsnorm	vmi_candidate	2	27.082	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-2
decode_rmsnorm	vmi_candidate	3	27.511	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-3
decode_rmsnorm	vmi_candidate	4	27.241	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-4
decode_rmsnorm	vmi_candidate	5	26.715	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-5
decode_rmsnorm	vmi_loop	1	31.618	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-1
decode_rmsnorm	vmi_loop	2	31.808	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-2
decode_rmsnorm	vmi_loop	3	32.474	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-3
decode_rmsnorm	vmi_loop	4	32.222	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-4
decode_rmsnorm	vmi_loop	5	31.790	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-5
decode_rmsnorm	vmi_fused	1	25.459	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-1
decode_rmsnorm	vmi_fused	2	26.598	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-2
decode_rmsnorm	vmi_fused	3	26.613	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-3
decode_rmsnorm	vmi_fused	4	26.369	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-4
decode_rmsnorm	vmi_fused	5	26.161	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-5
