status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic
PASS	_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_matmul.pto	37	33d52a88ca5618ad3688d9893f251bdcb9676f352d86e91bc02eee0e838f692d	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_matmul.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47744, socket=/tmp/tilelib_daemon_47741.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47744)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write.pto	27	da472432090e3dd7a8f46bb1c5efd4142ff2caff0a6a53a6b96a171fb8c12d29	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47805, socket=/tmp/tilelib_daemon_47802.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47805)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard.pto	10	7f83d70fe9702d3755b5eb30337acdaef18c8e48bcbc6e606b1a30d597f4f7df	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47846, socket=/tmp/tilelib_daemon_47843.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47846)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul.pto	36	4073c3f6a440b35b639c26e1f9cd6bd8d68fe408acf4f9e44a3e2d059d9f23c6	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47864, socket=/tmp/tilelib_daemon_47861.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47864)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed.pto	4	8ee6f2479031d2b9148ffef89e7a0cb8efa2a588dd7fc33899817f14053ecbaf	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47922, socket=/tmp/tilelib_daemon_47919.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47922)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope.pto	106	5e13a2d00eafabdb25adf976f97082f37b9073b36b078daaf525ba3259e7da30	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=47929, socket=/tmp/tilelib_daemon_47928.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=47929)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj.pto	67	f377e459fbc202a8260f3649cc6442b9a5bd2d726365a674b6839c09c0d9b0c7	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48127, socket=/tmp/tilelib_daemon_48124.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48127)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0.pto	35	c8519fad6975152cf677915a0396cd921002a55802960a70a22828cf066ff799	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48236, socket=/tmp/tilelib_daemon_48233.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48236)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_touch.pto	4	d0c9f8fef3a5c884586c37f5c52a1302d0627f6bcd7cfefa397981cb3febcc97	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_touch.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_touch	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48289, socket=/tmp/tilelib_daemon_48286.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48289)
PASS	_jit_attention_csa_test_20260723_032646/ptoas/merge_norm.pto	79	e3775ff6b026268c7edd83dc9b02c1e9ba5bceb1ef1b11e1b3e356e571f33da3	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/merge_norm.pto.vpto.mlir	artifacts/15eee8625f223d9ec497744f49e38c0e294dc583/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/merge_norm	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=48297, socket=/tmp/tilelib_daemon_48296.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=48297)
