case	region_regions	region_loops	region_vloads	region_vstores	region_vmi_instances	region_local_boundaries	region_hard_boundaries	pre_loop_regions	pre_loop_loops	pre_loop_vloads	pre_loop_vstores	pre_loop_vmi_instances	pre_loop_local_boundaries	pre_loop_hard_boundaries	loop_regions	loop_loops	loop_vloads	loop_vstores	loop_vmi_instances	loop_local_boundaries	loop_hard_boundaries	mem2reg_regions	mem2reg_loops	mem2reg_vloads	mem2reg_vstores	mem2reg_vmi_instances	mem2reg_local_boundaries	mem2reg_hard_boundaries	loops_removed	loads_elided	stores_elided	classification
_jit_attention_csa_test_20260723_032646/ptoas/comb_sinkhorn.pto	0	1	0	0	0	108	21	0	113	0	0	0	98	21	0	113	0	0	0	98	21	0	113	0	0	0	98	21	0	0	0	lowering_only
_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	3	10	0	0	9	0	45	3	17	10	9	24	0	55	3	16	10	9	23	0	55	3	16	9	8	23	0	55	1	1	1	deep_fusion_ready
_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	3	2	0	0	16	6	8	3	14	22	16	29	0	2	3	12	22	16	27	0	2	3	12	16	14	25	0	2	2	6	2	deep_fusion_ready
_jit_attention_csa_test_20260723_032646/ptoas/rmsnorm_rope.pto	8	4	0	0	28	14	13	8	34	39	28	48	6	1	8	24	39	28	38	6	1	8	24	28	24	37	6	1	10	11	4	partially_optimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/gather_kv.pto	3	2	0	0	3	0	3	3	3	2	3	5	0	0	3	3	2	3	5	0	0	3	3	2	3	5	0	0	0	0	0	fragmented_or_unoptimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/merge_norm.pto	3	3	0	0	8	15	9	3	11	10	8	17	0	7	3	8	10	8	14	0	7	3	8	8	8	14	0	7	3	2	0	deep_fusion_ready
_jit_prefill_attention_csa_test_20260723_031246/ptoas/prefill_c4_softmax_pool.pto	12	3	0	0	32	3	9	12	38	35	32	57	0	0	12	27	35	32	46	0	0	12	27	26	29	46	0	0	11	9	3	partially_optimized
_jit_prefill_attention_csa_test_20260723_031246/ptoas/rope.pto	0	3	0	0	0	17	6	0	19	0	0	0	15	2	0	19	0	0	0	15	2	0	19	0	0	0	15	2	0	0	0	lowering_only
