status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write.pto	34	da472432090e3dd7a8f46bb1c5efd4142ff2caff0a6a53a6b96a171fb8c12d29	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard.pto	13	7f83d70fe9702d3755b5eb30337acdaef18c8e48bcbc6e606b1a30d597f4f7df	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul.pto	38	4073c3f6a440b35b639c26e1f9cd6bd8d68fe408acf4f9e44a3e2d059d9f23c6	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed.pto	53	8ee6f2479031d2b9148ffef89e7a0cb8efa2a588dd7fc33899817f14053ecbaf	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope.pto	110	5e13a2d00eafabdb25adf976f97082f37b9073b36b078daaf525ba3259e7da30	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj.pto	69	f377e459fbc202a8260f3649cc6442b9a5bd2d726365a674b6839c09c0d9b0c7	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0.pto	37	c8519fad6975152cf677915a0396cd921002a55802960a70a22828cf066ff799	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_touch.pto	71	d0c9f8fef3a5c884586c37f5c52a1302d0627f6bcd7cfefa397981cb3febcc97	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_touch.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_touch	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/merge_norm.pto	90	e3775ff6b026268c7edd83dc9b02c1e9ba5bceb1ef1b11e1b3e356e571f33da3	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/merge_norm.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/merge_norm	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/mix_x.pto	89	04b0ad82120c982cbfab33173d31c1407e8031767e07adc80b5a0dd8e2ee60fb	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/mix_x.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/mix_x	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm.pto	82	22dfaf085e920071180888d21a507f1567d724368830d812a6da3ddb4cd4e279	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act.pto	67	40624f96feef649ab22d79291b5189d095bdfd66540107fe6dd8392da86e0635	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm.pto	71	774bbfc38e0c177005c988fb2260ff2bed3231c722f61cd5af7a30031a691ffc	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare.pto	106	c7c0283c6b49b9e60a044cf76e98c76e5e59ce1bf1150cd716eb2e7cb83e392f	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	149	90fb126e1a3f52e863dcc24bfe42c6a865142bd7c2385b7dc7bf7bc3692b66fb	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qk_pv	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope.pto	96	150dcc7ab98279c6946eace5a6b222e7605efc13a6d466cac1d5a493b13e3cb9	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul.pto	47	dbac01ce7c570a9bf66ee8976170b58c50665394c4936648def602f352aa07ca	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul.pto	13	ab510cd9de0b3abaad0f6ab85036ca534254f46934aecc3d7c4321cf1bd651b9	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant.pto	32	3b1a2c5b806d7b566570c29913f3dd86388b2b820f3150e96a1c2f2c08b10bbe	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul.pto	45	f0e0b684ff862f7d91f74178fec06ecfc0972b4b71abdb278fec5a03bd2dd2fd	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul	0	cached
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed.pto	5	179ceb369fa2a3bbf1e0aa67f77fd6dc0b609e16deb0e8512241f0b0defe29e9	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed.pto.vpto.mlir	artifacts/7d299080400cc7896137e9da6a6eb2b2b257635e/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed	0	cached
